OutputArea,All people aged 16 and over in employment the week before the census (including full-time students if they gave a work address as the address they primarily travel to for work or study),Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S00135307,69,25,4,8,12,14,-,1,-,-,6
S00135308,40,12,-,3,5,11,-,-,1,-,11
S00135309,78,23,4,10,23,4,-,-,-,-,9
S00135310,97,30,9,13,20,8,1,-,-,-,13
S00135311,92,27,3,21,27,4,2,-,1,-,15
S00135312,86,14,6,5,31,14,-,-,2,2,10
S00135313,59,15,6,6,17,4,-,-,-,-,11
S00135314,105,31,8,16,29,10,-,-,2,-,9
S00135315,48,9,3,12,13,1,-,-,2,-,5
S00135316,60,18,7,11,10,2,-,-,-,-,9
S00135317,65,17,8,7,15,6,1,-,-,-,12
S00135318,44,6,4,10,16,3,-,-,-,-,6
S00135319,54,9,9,8,6,12,2,-,-,1,9
S00135320,53,10,4,5,17,6,-,-,-,-,8
S00135321,41,14,3,6,5,7,1,-,-,-,8
S00135322,73,14,13,9,19,3,-,2,-,-,10
S00135323,48,7,6,9,15,6,-,-,-,-,4
S00135324,31,15,4,-,8,2,-,-,-,-,2
S00135325,46,9,4,7,16,5,-,-,1,1,6
S00135326,28,11,3,3,7,1,-,-,-,-,3
S00135327,46,11,7,3,12,6,-,-,-,-,6
S00135328,51,14,5,11,10,6,-,-,-,-,5
S00135329,59,17,9,7,9,4,-,-,-,-,12
S00135330,48,16,6,7,13,1,1,-,-,-,9
S00135331,26,2,5,3,6,4,-,-,2,-,5
S00135332,38,4,5,4,8,6,-,2,2,-,8
S00135333,44,13,6,5,10,4,-,-,-,-,6
S00135334,38,9,5,3,11,4,-,-,-,-,4
S00135335,65,18,9,7,19,7,-,-,-,1,5
S00135336,37,5,7,5,9,1,-,1,-,-,11
S00135337,66,15,2,2,26,4,-,2,-,-,9
S00135338,67,13,11,5,22,3,1,-,-,-,10
S00135339,47,14,4,7,12,4,1,-,1,1,4
S00135340,55,13,3,7,17,7,-,1,-,2,6
S00135341,39,8,10,1,14,3,-,-,-,-,4
S00135342,46,12,4,3,13,5,-,-,-,2,7
S00135343,109,43,1,4,29,7,-,-,-,3,20
S00135344,56,16,6,-,15,5,3,-,-,1,10
S00135345,107,31,7,10,37,4,2,-,-,-,17
S00135346,48,15,6,5,15,4,-,-,-,-,3
S00135347,59,15,2,8,19,6,-,1,-,-,8
S00135348,47,10,3,5,18,4,-,-,-,-,5
S00135349,64,23,11,3,11,-,1,-,1,-,12
