Scotland's Census 2022 - National Records of Scotland
Table UV302 - General health
All people
,"All people","Very good","Good","Fair","Bad","Very bad"
"S00135307",144,77,44,18,5,-
"S00135308",65,43,17,3,1,1
"S00135309",156,65,45,38,6,2
"S00135310",153,89,49,14,2,-
"S00135311",151,88,53,9,1,1
"S00135312",187,99,53,27,-,-
"S00135313",181,68,57,35,16,2
"S00135314",173,107,49,14,1,-
"S00135315",108,48,35,21,4,4
"S00135316",130,43,57,20,7,3
"S00135317",156,72,50,22,7,4
"S00135318",85,39,30,13,2,1
"S00135319",141,58,45,27,10,2
"S00135320",127,67,38,13,6,-
"S00135321",84,32,28,17,4,4
"S00135322",151,55,59,27,8,4
"S00135323",108,40,46,23,1,1
"S00135324",60,23,29,8,-,-
"S00135325",77,39,30,4,3,-
"S00135326",84,36,21,20,3,5
"S00135327",95,47,36,6,3,3
"S00135328",117,38,49,23,6,2
"S00135329",123,51,42,20,7,3
"S00135330",105,48,37,13,7,4
"S00135331",66,28,19,11,7,1
"S00135332",93,44,29,11,6,1
"S00135333",104,34,46,28,2,2
"S00135334",74,34,32,7,1,-
"S00135335",123,64,47,10,2,-
"S00135336",78,40,25,11,4,-
"S00135337",142,43,62,28,10,1
"S00135338",145,54,54,25,9,3
"S00135339",140,69,42,19,8,3
"S00135340",129,65,41,17,1,-
"S00135341",94,49,34,8,2,-
"S00135342",90,40,36,10,2,-
"S00135343",172,114,51,9,-,-
"S00135344",118,50,45,16,6,2
"S00135345",165,96,52,16,3,1
"S00135346",136,54,60,16,3,1
"S00135347",91,57,27,9,1,-
"S00135348",130,58,51,19,1,-
"S00135349",127,54,53,12,5,-
"S00135350",131,82,36,5,2,2
"S00135351",224,151,66,7,-,-
"S00135352",161,80,55,17,3,2
"S00135353",206,144,51,9,2,-
"S00135354",105,60,38,-,2,-
"S00135355",124,88,30,5,1,-
"S00135356",126,57,53,17,2,-
"S00135357",228,134,86,8,-,-
"S00135358",137,82,43,10,1,-
"S00135359",123,57,45,18,1,-
"S00135360",129,61,45,16,3,-
"S00135361",117,57,40,16,5,-
"S00135362",132,71,38,17,2,2
"S00135363",174,127,39,8,-,-
"S00135364",165,66,68,25,5,1
"S00135365",119,59,34,19,4,3
"S00135366",112,50,46,9,-,2
"S00135367",82,35,38,8,1,-
"S00135368",131,82,37,12,4,-
"S00135369",128,83,34,5,3,-
"S00135370",72,41,16,8,1,-
"S00135371",149,84,48,14,-,-
"S00135372",152,92,46,13,-,1
"S00135373",226,138,68,17,3,-
"S00135374",141,83,39,14,5,-
"S00135375",98,57,40,2,-,-
"S00135376",75,42,23,7,-,-
"S00135377",119,62,40,12,1,-
"S00135378",127,86,28,7,2,-
"S00135379",60,31,18,8,-,2
"S00135380",132,75,38,16,3,-
"S00135381",133,87,41,5,-,-
"S00135382",101,47,46,8,-,-
"S00135383",153,101,45,8,-,-
"S00135384",61,41,13,5,2,-
"S00135385",90,46,24,16,4,-
"S00135386",113,24,26,31,25,7
"S00135387",171,84,61,20,4,1
"S00135388",200,131,56,7,3,3
"S00135389",132,72,47,9,3,1
"S00135390",85,45,34,11,1,-
"S00135391",203,129,53,17,3,1
"S00135392",70,32,28,9,1,-
"S00135393",207,81,65,34,19,4
"S00135394",152,73,69,10,4,-
"S00135395",79,42,30,4,3,-
"S00135396",133,68,43,18,1,3
"S00135397",121,78,35,7,2,-
"S00135398",129,74,41,10,1,-
"S00135399",243,69,46,96,27,2
"S00135400",162,82,52,22,4,-
"S00135401",99,50,34,13,2,-
"S00135402",80,40,34,5,1,-
"S00135403",131,73,43,12,3,-
"S00135404",86,41,36,8,1,2
"S00135405",188,107,50,18,10,-
"S00135406",172,87,53,25,3,1
"S00135407",153,90,50,9,1,2
"S00135408",152,65,47,26,16,5
"S00135409",70,20,35,10,3,1
"S00135410",111,55,48,5,2,-
"S00135411",183,93,63,17,4,1
"S00135412",113,53,37,17,6,-
"S00135413",134,73,47,11,6,-
"S00135414",89,37,40,12,2,-
"S00135415",104,63,36,1,3,-
"S00135416",199,105,68,24,7,1
"S00135417",107,66,33,5,2,-
"S00135418",178,121,45,10,2,-
"S00135419",77,33,31,12,1,-
"S00135420",142,61,48,28,8,3
"S00135421",116,51,48,13,3,-
"S00135422",109,51,43,12,3,-
"S00135423",190,115,55,13,5,2
"S00135424",115,49,36,22,7,1
"S00135425",116,45,36,23,11,1
"S00135426",141,72,59,13,-,-
"S00135427",126,43,54,24,3,3
"S00135428",75,50,18,-,1,3
"S00135429",85,49,23,9,3,1
"S00135430",113,57,39,17,1,-
"S00135431",109,65,37,3,3,1
"S00135432",117,50,47,15,2,2
"S00135433",128,61,52,12,4,1
"S00135434",111,34,54,16,4,-
"S00135435",77,38,25,9,4,-
"S00135436",109,56,40,9,-,2
"S00135437",127,65,43,11,7,4
"S00135438",82,31,36,12,3,-
"S00135439",92,47,35,6,3,-
"S00135440",131,56,47,23,8,-
"S00135441",127,65,41,22,1,2
"S00135442",67,9,21,16,11,8
"S00135443",99,47,35,14,2,-
"S00135444",99,59,31,5,2,-
"S00135445",141,63,55,19,1,1
"S00135446",159,76,51,28,3,1
"S00135447",137,80,45,9,2,-
"S00135448",170,117,38,11,1,-
"S00135449",98,24,24,30,16,6
"S00135450",92,20,42,22,8,2
"S00135451",70,29,27,12,2,-
"S00135452",64,25,17,13,11,-
"S00135453",110,47,43,9,1,-
"S00135454",123,71,43,8,1,-
"S00135455",106,51,47,13,1,-
"S00135456",89,25,45,14,4,1
"S00135457",69,31,25,8,1,4
"S00135458",79,48,24,5,2,-
"S00135459",121,46,42,23,9,2
"S00135460",121,58,42,18,4,1
"S00135461",135,74,44,13,-,-
"S00135462",159,70,72,14,4,3
"S00135463",149,63,62,20,1,-
"S00135464",109,55,31,14,3,-
"S00135465",106,27,46,29,6,-
"S00135466",101,43,50,9,2,-
"S00135467",95,52,27,11,3,2
"S00135468",69,52,12,4,-,1
"S00135469",121,47,47,15,6,3
"S00135470",137,91,34,12,2,-
"S00135471",154,85,49,13,5,1
"S00135472",148,70,46,22,8,2
"S00135473",128,63,47,18,2,2
"S00135474",122,80,33,5,4,-
"S00135475",102,49,34,14,6,-
"S00135476",108,54,35,12,5,5
"S00135477",120,77,36,-,4,1
"S00135478",95,16,26,35,12,9
"S00135479",125,82,30,8,4,-
"S00135480",132,62,43,23,1,-
"S00135481",132,51,59,15,3,4
"S00135482",83,29,36,11,6,3
"S00135483",118,60,38,18,2,-
"S00135484",82,39,32,9,1,-
"S00135485",163,74,63,20,5,2
"S00135486",115,70,31,12,3,2
"S00135487",160,72,61,20,7,-
"S00135488",118,47,44,13,6,2
"S00135489",144,79,42,19,2,3
"S00135490",131,60,49,16,4,2
"S00135491",130,83,32,11,4,-
"S00135492",130,37,66,25,-,4
"S00135493",166,90,53,21,2,-
"S00135494",98,46,37,19,-,-
"S00135495",110,65,38,6,1,-
"S00135496",105,55,34,15,1,1
"S00135497",236,131,86,13,5,1
