OutputCode,WorkplacePop
S00156721,203
S00156722,24
S00156723,30
S00156724,27
S00156725,13
S00156726,28
S00156727,17
S00156728,21
S00156729,75
S00156730,28
S00156731,28
S00156732,94
S00156733,75
S00156734,14
S00156735,26
S00156736,10
S00156737,191
S00156738,50
S00156739,14
S00156740,96
S00156741,17
S00156742,40
S00156743,42
S00156744,51
S00156745,28
S00156746,27
S00156747,17
S00156748,18
S00156749,18
S00156750,25
S00156751,23
S00156752,18
S00156753,9
S00156754,17
S00156755,7
S00156756,9
S00156757,32
S00156758,20
S00156759,40
S00156760,33
S00156761,14
S00156762,19
S00156763,24
S00156764,16
S00156765,29
S00156766,23
S00156767,24
S00156768,20
S00156769,21
S00156770,18
S00156771,11
S00156772,12
S00156773,441
S00156774,10
S00156775,15
S00156776,25
S00156777,36
S00156778,43
S00156779,21
S00156780,20
S00156781,16
S00156782,20
S00156783,11
S00156784,574
S00156785,23
S00156786,16
S00156787,17
S00156788,27
S00156789,57
S00156790,18
S00156791,15
S00156792,9
S00156793,10
S00156794,17
S00156795,7
S00156796,74
S00156797,26
S00156798,16
S00156799,15
S00156800,11
S00156801,10
S00156802,25
S00156803,8
S00156804,15
S00156805,7
S00156806,12
S00156807,11
S00156808,10
S00156809,103
S00156810,24
S00156811,37
S00156812,18
S00156813,16
S00156814,14
S00156815,11
S00156816,15
S00156817,8
S00156818,26
S00156819,13
S00156820,9
S00156821,35
S00156822,27
S00156823,125
S00156824,19
S00156825,174
S00156826,22
S00156827,24
S00156828,17
S00156829,24
S00156830,80
S00156831,37
S00156832,49
S00156833,25
S00156834,32
S00156835,45
S00156836,74
S00156837,523
S00156838,931
S00156839,338
S00156840,56
S00156841,24
S00156842,8
S00156843,31
S00156844,66
S00156845,31
S00156846,37
S00156847,28
S00156848,46
S00156849,35
S00156850,33
S00156851,29
S00156852,20
S00156853,11
S00156854,23
S00156855,24
S00156856,25
S00156857,17
S00156858,28
S00156859,38
S00156860,24
S00156861,25
S00156862,12
S00156863,39
S00156864,85
S00156865,24
S00156866,27
S00156867,10
S00156868,19
S00156869,35
S00156870,21
S00156871,19
S00156872,17
S00156873,11
S00156874,11
S00156875,30
S00156876,39
S00156877,36
S00156878,16
S00156879,22
S00156880,42
S00156881,34
S00156882,25
S00156883,17
S00156884,17
S00156885,24
S00156886,28
S00156887,37
S00156888,30
S00156889,22
S00156890,16
S00156891,21
S00156892,20
S00156893,29
S00156894,32
S00156895,27
S00156896,7
S00156897,20
S00156898,21
S00156899,12
S00156900,52
S00156901,31
S00156902,48
S00156903,17
S00156904,24
S00156905,18
S00156906,28
S00156907,21
S00156908,33
S00156909,15
S00156910,15
S00156911,16
S00156912,19
S00156913,23
S00156914,23
S00156915,13
S00156916,23
S00156917,17
S00156918,25
S00156919,23
S00156920,33
S00156921,46
S00156922,22
S00156923,19
S00156924,10
S00156925,24
S00156926,124
S00156927,18
S00156928,9
S00156929,24
S00156930,13
S00156931,21
S00156932,24
S00156933,26
S00156934,19
S00156935,25
S00156936,33
S00156937,21
S00156938,59
S00156939,19
S00156940,13
S00156941,14
S00156942,13
S00156943,32
S00156944,17
S00156945,10
S00156946,26
S00156947,27
S00156948,11
S00156949,491
S00156950,23
S00156951,23
S00156952,56
S00156953,43
S00156954,17
S00156955,21
S00156956,27
S00156957,131
S00156958,26
S00156959,24
S00156960,227
S00156961,16
S00156962,38
S00156963,14
S00156964,13
S00156965,12
S00156966,27
S00156967,25
S00156968,21
S00156969,10
S00156970,18
S00156971,15
S00156972,25
S00156973,17
S00156974,17
S00156975,21
S00156976,31
S00156977,10
S00156978,40
S00156979,17
S00156980,13
S00156981,27
S00156982,19
S00156983,32
S00156984,17
S00156985,12
S00156986,20
S00156987,23
S00156988,17
S00156989,23
S00156990,22
S00156991,27
S00156992,19
S00156993,25
S00156994,21
S00156995,53
S00156996,18
S00156997,10
S00156998,20
S00156999,30
S00157000,23
S00157001,16
S00157002,14
S00157003,34
S00157004,27
S00157005,46
S00157006,20
S00157007,13
S00157008,25
S00157009,58
S00157010,33
S00157011,22
S00157012,25
S00157013,23
S00157014,37
S00157015,122
S00157016,71
S00157017,42
S00157018,32
S00157019,22
S00157020,25
S00157021,14
S00157022,434
S00157023,18
S00157024,19
S00157025,23
S00157026,58
S00157027,21
S00157028,33
S00157029,9
S00157030,81
S00157031,22
S00157032,17
S00157033,11
S00157034,32
