Scotland's Census 2022 - National Records of Scotland
Table UV607 - National Statistics Socio-economic Classification (NS-SeC)
All people aged 16 and over
,"All people aged 16 and over","L1: Employers in large establishments","L2: Higher managerial and administrative occupations","L3: Higher professional occupations","L4: Lower professional and higher technical occupations","L5: Lower managerial and administrative occupations","L6: Higher supervisory occupations","L7: Intermediate occupations","L8: Employers in small establishments","L9: Own account workers","L10: Lower supervisory occupations","L11: Lower technical occupations","L12: Semi-routine occupations","L13: Routine occupations","L14.1: Never worked","L14.2: Long-term unemployed","L15: Full-time students"
"S00135307",118,-,4,15,25,6,3,5,8,10,4,1,13,13,2,-,7
"S00135308",52,-,1,9,8,1,3,3,1,3,1,5,5,4,1,-,1
"S00135309",147,1,6,18,28,4,5,19,8,8,5,5,6,20,6,-,8
"S00135310",132,-,1,11,24,9,4,15,2,5,3,8,24,22,-,1,9
"S00135311",118,-,6,15,26,4,4,17,3,10,2,7,5,11,2,-,4
"S00135312",132,-,4,14,24,2,5,20,2,4,6,5,16,18,2,-,14
"S00135313",154,-,6,11,29,4,4,18,2,6,3,9,20,18,18,-,6
"S00135314",138,-,7,26,32,2,3,17,1,5,4,7,9,9,3,2,12
"S00135315",89,-,3,3,11,2,3,11,1,5,5,5,12,18,5,6,2
"S00135316",111,-,2,11,19,2,2,17,6,6,1,7,11,14,6,1,4
"S00135317",136,-,3,2,20,8,4,19,1,7,4,9,11,31,5,7,1
"S00135318",69,-,-,4,20,1,4,11,-,3,1,2,9,12,3,-,3
"S00135319",113,-,-,7,21,-,6,17,-,4,4,7,14,22,8,-,3
"S00135320",101,-,4,11,11,-,5,9,-,7,6,8,10,16,4,3,5
"S00135321",72,-,-,5,13,-,-,11,-,-,4,4,8,16,9,-,1
"S00135322",121,-,3,7,17,1,3,21,-,4,4,8,17,31,1,-,8
"S00135323",100,-,-,7,8,-,3,10,-,3,10,7,14,19,14,-,5
"S00135324",53,-,-,1,6,-,4,6,4,-,5,2,10,8,1,-,6
"S00135325",64,-,3,10,8,2,-,12,1,2,6,4,8,6,1,-,1
"S00135326",71,-,2,2,12,-,4,10,2,1,1,-,10,13,8,4,1
"S00135327",78,-,1,5,12,1,-,10,1,-,5,9,9,18,1,1,1
"S00135328",106,-,1,4,12,3,3,14,1,4,4,6,22,21,10,-,3
"S00135329",101,-,2,6,14,5,4,13,-,6,4,10,10,20,9,-,4
"S00135330",95,-,1,7,13,2,1,11,2,5,7,2,17,13,5,2,5
"S00135331",54,-,-,4,4,1,3,9,-,-,3,3,14,9,3,-,-
"S00135332",76,-,2,4,13,3,4,9,-,2,4,3,11,15,3,-,4
"S00135333",82,-,2,2,7,4,3,9,1,2,3,3,13,13,8,4,8
"S00135334",58,-,-,5,12,5,-,9,-,3,3,2,6,6,6,1,-
"S00135335",99,-,4,3,11,3,1,14,2,3,5,4,13,19,3,1,8
"S00135336",63,-,4,7,3,-,4,8,2,3,2,6,5,4,6,1,4
"S00135337",130,-,4,4,14,2,5,11,-,4,17,11,18,25,8,2,3
"S00135338",124,-,1,5,11,2,5,17,4,6,3,9,18,24,9,3,6
"S00135339",108,-,4,6,25,5,1,13,2,3,3,8,15,12,8,-,5
"S00135340",105,-,2,10,14,8,4,20,3,5,1,2,8,12,4,1,13
"S00135341",70,-,-,-,5,3,4,12,2,4,-,7,15,12,2,1,5
"S00135342",80,-,3,6,15,5,1,11,-,2,5,4,10,15,-,-,3
"S00135343",124,-,11,20,32,4,6,16,-,5,2,10,6,9,5,1,5
"S00135344",105,-,9,10,12,3,4,11,2,3,1,7,12,15,1,1,10
"S00135345",139,-,4,13,27,5,4,20,2,9,5,11,13,13,3,1,10
"S00135346",118,-,7,10,28,1,9,12,-,3,3,2,9,10,6,-,2
"S00135347",68,-,1,11,16,3,3,11,2,-,3,3,9,6,-,-,4
"S00135348",110,-,1,15,21,2,4,19,5,7,1,5,6,9,1,1,11
"S00135349",107,-,6,13,20,3,6,13,1,5,6,2,9,14,5,-,4
"S00135350",99,-,2,13,17,5,3,19,1,5,1,6,3,6,6,-,6
"S00135351",151,1,5,26,39,6,5,22,4,5,4,4,15,7,3,-,3
"S00135352",139,-,6,13,26,5,4,28,-,4,11,4,14,16,1,-,3
"S00135353",142,-,5,21,35,7,7,19,5,8,4,4,12,9,5,-,8
"S00135354",72,-,4,9,17,3,3,16,1,4,3,5,5,-,-,-,2
"S00135355",90,-,8,22,24,4,5,12,1,3,-,2,8,3,1,-,-
"S00135356",111,-,-,8,20,3,1,17,1,9,1,9,9,20,5,4,6
"S00135357",164,1,10,22,34,6,5,17,2,16,-,2,15,11,4,1,17
"S00135358",116,-,5,23,31,2,5,18,1,2,6,3,1,8,4,2,5
"S00135359",111,-,7,11,19,3,5,21,2,5,3,9,7,11,4,1,8
"S00135360",119,-,5,8,22,5,7,23,1,1,2,13,17,12,2,-,2
"S00135361",96,1,-,9,10,7,4,22,1,5,10,5,8,5,6,2,3
"S00135362",113,-,2,10,23,4,4,17,2,3,4,4,13,10,6,1,7
"S00135363",117,-,5,9,18,5,5,15,2,3,8,6,13,12,2,2,8
"S00135364",148,-,4,14,23,5,5,28,-,10,3,2,19,18,7,2,10
"S00135365",101,1,7,9,20,-,2,13,2,7,1,4,10,9,5,-,8
"S00135366",100,-,7,13,27,2,4,10,4,11,1,-,7,4,7,-,2
"S00135367",73,-,2,5,16,3,3,13,2,7,5,2,4,8,4,-,5
"S00135368",102,-,2,18,8,3,2,11,2,8,-,4,14,10,6,1,10
"S00135369",102,-,4,20,22,2,3,14,-,-,3,4,4,12,5,-,12
"S00135370",59,-,-,5,9,2,7,11,-,2,1,-,4,5,2,4,6
"S00135371",125,-,3,14,21,7,7,25,-,4,1,2,18,14,3,-,4
"S00135372",104,-,3,15,11,2,5,19,-,6,-,10,10,9,1,-,7
"S00135373",192,-,9,30,38,9,5,36,3,12,5,11,12,16,-,1,7
"S00135374",114,-,5,11,21,4,1,18,1,10,8,5,10,15,2,-,2
"S00135375",78,-,-,9,21,4,-,10,-,6,4,5,6,6,1,-,6
"S00135376",56,-,4,6,8,-,2,10,2,3,-,-,8,6,3,-,2
