OutputArea,TotalPopOver16,StudentPop
S00135307,118,7
S00135308,52,1
S00135309,147,8
S00135310,132,9
S00135311,118,4
S00135312,132,14
S00135313,154,6
S00135314,138,12
S00135315,89,2
S00135316,111,4
S00135317,136,1
S00135318,69,3
S00135319,113,3
S00135320,101,5
S00135321,72,1
S00135322,121,8
S00135323,100,5
S00135324,53,6
S00135325,64,1
S00135326,71,1
S00135327,78,1
S00135328,106,3
S00135329,101,4
S00135330,95,5
S00135331,54,-
S00135332,76,4
S00135333,82,8
S00135334,58,-
S00135335,99,8
S00135336,63,4
S00135337,130,3
S00135338,124,6
S00135339,108,5
S00135340,105,13
S00135341,70,5
S00135342,80,3
S00135343,124,5
S00135344,105,10
S00135345,139,10
S00135346,118,2
S00135347,68,4
S00135348,110,11
S00135349,107,4
S00135350,99,6
S00135351,151,3
S00135352,139,3
S00135353,142,8
S00135354,72,2
S00135355,90,-
S00135356,111,6
S00135357,164,17
S00135358,116,5
S00135359,111,8
S00135360,119,2
S00135361,96,3
S00135362,113,7
S00135363,117,8
S00135364,148,10
S00135365,101,8
S00135366,100,2
S00135367,73,5
S00135368,102,10
S00135369,102,12
S00135370,59,6
S00135371,125,4
S00135372,104,7
S00135373,192,7
S00135374,114,2
S00135375,78,6
S00135376,56,2
S00135377,103,8
S00135378,92,17
S00135379,54,1
S00135380,113,10
S00135381,105,9
S00135382,84,7
S00135383,110,13
S00135384,51,5
S00135385,61,7
S00135386,109,2
S00135387,151,10
S00135388,149,10
S00135389,116,9
S00135390,72,5
S00135391,156,6
S00135392,59,3
S00135393,162,15
S00135394,131,11
S00135395,64,2
S00135396,110,1
S00135397,86,3
S00135398,105,9
S00135399,213,5
S00135400,141,4
S00135401,88,6
S00135402,68,1
S00135403,107,5
S00135404,71,4
S00135405,145,9
S00135406,157,7
S00135407,120,5
S00135408,132,4
S00135409,62,2
S00135410,99,4
S00135411,161,16
S00135412,97,7
S00135413,126,14
S00135414,84,4
S00135415,87,7
S00135416,162,7
S00135417,98,-
S00135418,129,7
S00135419,69,-
S00135420,129,7
S00135421,102,5
S00135422,92,11
S00135423,150,10
S00135424,104,6
S00135425,102,7
S00135426,118,16
S00135427,118,6
S00135428,55,6
S00135429,74,5
S00135430,98,6
S00135431,86,7
S00135432,105,4
S00135433,110,5
S00135434,103,3
S00135435,71,2
S00135436,90,5
S00135437,102,5
S00135438,66,-
S00135439,80,2
S00135440,113,7
S00135441,110,7
S00135442,67,-
S00135443,84,4
S00135444,71,8
S00135445,120,3
S00135446,129,3
S00135447,111,7
S00135448,109,-
S00135449,95,2
S00135450,85,5
S00135451,68,4
S00135452,57,1
S00135453,93,6
S00135454,95,1
S00135455,95,5
S00135456,72,3
S00135457,61,1
S00135458,65,3
S00135459,113,2
S00135460,106,8
S00135461,104,12
S00135462,132,5
S00135463,129,7
S00135464,91,3
S00135465,96,4
S00135466,87,6
S00135467,80,5
S00135468,68,5
S00135469,113,3
S00135470,112,2
S00135471,124,15
S00135472,130,6
S00135473,103,5
S00135474,89,6
S00135475,81,5
S00135476,90,4
S00135477,94,3
S00135478,91,3
S00135479,111,4
S00135480,109,1
S00135481,114,6
S00135482,66,3
S00135483,100,9
S00135484,74,2
S00135485,142,7
S00135486,88,-
S00135487,144,10
S00135488,93,9
S00135489,100,6
S00135490,117,6
S00135491,112,7
S00135492,111,3
S00135493,127,10
S00135494,87,6
S00135495,82,6
S00135496,87,4
S00135497,185,8
S00135498,117,7
S00135499,110,8
S00135500,82,5
S00135501,121,2
S00135502,114,16
S00135503,77,3
S00135504,137,5
S00135505,122,9
S00135506,74,3
S00135507,132,12
S00135508,61,-
S00135509,102,-
S00135510,100,1
S00135511,116,4
S00135512,110,4
S00135513,97,4
S00135514,96,7
S00135515,143,13
S00135516,108,8
S00135517,101,9
S00135518,76,5
S00135519,129,7
S00135520,129,5
S00135521,104,7
S00135522,85,2
S00135523,65,1
S00135524,104,2
S00135525,87,2
S00135526,96,2
S00135527,58,2
S00135528,152,9
S00135529,130,2
S00135530,73,3
S00135531,86,4
S00135532,77,6
S00135533,110,5
S00135534,97,11
S00135535,194,11
S00135536,124,10
S00135537,129,4
S00135538,81,3
S00135539,72,7
S00135540,124,6
S00135541,73,-
S00135542,124,8
S00135543,131,7
S00135544,83,-
S00135545,125,8
S00135546,76,4
S00135547,146,8
S00135548,71,1
S00135549,55,4
S00135550,98,8
S00135551,104,2
S00135552,104,6
S00135553,175,12
S00135554,72,3
S00135555,142,8
S00135556,98,3
S00135557,74,2
S00135558,124,6
S00135559,95,6
S00135560,91,6
S00135561,73,11
S00135562,78,3
S00135563,44,-
S00135564,94,2
S00135565,59,2
S00135566,87,4
S00135567,98,6
S00135568,136,5
S00135569,89,7
S00135570,102,3
S00135571,91,8
S00135572,103,2
S00135573,86,1
S00135574,69,3
S00135575,126,8
S00135576,111,4
S00135577,105,6
S00135578,101,6
S00135579,76,2
S00135580,122,6
S00135581,105,11
S00135582,77,6
S00135583,106,3
S00135584,97,4
S00135585,82,4
S00135586,95,3
S00135587,67,1
S00135588,82,3
S00135589,75,2
S00135590,62,4
S00135591,68,4
S00135592,81,8
S00135593,78,6
S00135594,85,3
S00135595,119,7
S00135596,185,2
S00135597,113,7
S00135598,79,4
S00135599,110,7
S00135600,59,4
S00135601,96,12
S00135602,115,28
S00135603,69,3
S00135604,74,-
S00135605,72,3
S00135606,216,11
S00135607,1706,1599
S00135608,79,1
S00135609,91,2
S00135610,150,5
S00135611,74,5
S00135612,122,8
S00135613,86,8
