OutputArea,over16pop
S00135307,118
S00135308,52
S00135309,147
S00135310,132
S00135311,117
S00135312,132
S00135313,154
S00135314,138
S00135315,87
S00135316,111
S00135317,134
S00135318,69
S00135319,114
S00135320,101
S00135321,72
S00135322,118
S00135323,96
S00135324,52
S00135325,64
S00135326,71
S00135327,78
S00135328,106
S00135329,97
S00135330,95
S00135331,54
S00135332,78
S00135333,82
S00135334,58
S00135335,99
S00135336,63
S00135337,128
S00135338,124
S00135339,104
S00135340,105
S00135341,70
S00135342,80
S00135343,121
S00135344,101
S00135345,131
S00135346,118
S00135347,75
S00135348,106
S00135349,107
S00135350,99
S00135351,151
S00135352,139
S00135353,142
S00135354,75
S00135355,90
S00135356,111
S00135357,164
S00135358,117
S00135359,113
S00135360,123
S00135361,97
S00135362,113
S00135363,117
S00135364,148
S00135365,101
S00135366,100
S00135367,73
S00135368,106
S00135369,102
S00135370,62
S00135371,124
S00135372,104
S00135373,192
S00135374,115
S00135375,78
S00135376,56
S00135377,101
S00135378,92
S00135379,54
S00135380,116
S00135381,105
S00135382,84
S00135383,111
S00135384,51
S00135385,65
S00135386,105
S00135387,155
S00135388,146
S00135389,116
S00135390,68
S00135391,154
S00135392,61
S00135393,162
S00135394,131
S00135395,64
S00135396,110
S00135397,86
S00135398,110
S00135399,217
S00135400,141
S00135401,87
S00135402,68
S00135403,107
S00135404,71
S00135405,145
S00135406,153
S00135407,122
S00135408,132
S00135409,62
S00135410,99
S00135411,161
S00135412,101
S00135413,117
S00135414,84
S00135415,87
S00135416,162
S00135417,95
S00135418,129
S00135419,72
S00135420,125
S00135421,102
S00135422,92
S00135423,154
S00135424,100
S00135425,100
S00135426,118
S00135427,118
S00135428,55
S00135429,75
S00135430,98
S00135431,86
S00135432,104
S00135433,108
S00135434,106
S00135435,72
S00135436,94
S00135437,95
S00135438,66
S00135439,80
S00135440,113
S00135441,110
S00135442,67
S00135443,87
S00135444,71
S00135445,118
S00135446,129
S00135447,109
S00135448,113
S00135449,93
S00135450,86
S00135451,68
S00135452,57
S00135453,96
S00135454,95
S00135455,93
S00135456,72
S00135457,63
S00135458,62
S00135459,113
S00135460,102
S00135461,104
S00135462,129
S00135463,129
S00135464,94
S00135465,96
S00135466,87
S00135467,80
S00135468,69
S00135469,116
S00135470,112
S00135471,126
S00135472,126
S00135473,103
S00135474,89
S00135475,81
S00135476,93
S00135477,94
S00135478,88
S00135479,109
S00135480,111
S00135481,115
S00135482,64
S00135483,100
S00135484,74
S00135485,139
S00135486,85
S00135487,144
S00135488,97
S00135489,101
S00135490,117
S00135491,112
S00135492,111
S00135493,127
S00135494,86
S00135495,82
S00135496,87
S00135497,185
S00135498,118
S00135499,110
S00135500,79
S00135501,119
S00135502,114
S00135503,77
S00135504,137
S00135505,125
S00135506,82
S00135507,132
S00135508,61
S00135509,102
S00135510,101
S00135511,113
S00135512,110
S00135513,97
S00135514,99
S00135515,145
S00135516,108
S00135517,99
S00135518,76
S00135519,129
S00135520,125
S00135521,104
S00135522,84
S00135523,69
S00135524,104
S00135525,87
S00135526,96
S00135527,60
S00135528,149
S00135529,132
S00135530,73
S00135531,86
S00135532,74
S00135533,110
S00135534,97
S00135535,198
S00135536,124
S00135537,129
S00135538,82
S00135539,72
S00135540,125
S00135541,74
S00135542,123
S00135543,131
S00135544,83
S00135545,125
S00135546,76
S00135547,143
S00135548,71
S00135549,55
S00135550,97
S00135551,104
S00135552,100
S00135553,177
S00135554,70
S00135555,143
S00135556,98
S00135557,72
S00135558,125
S00135559,97
S00135560,93
S00135561,73
S00135562,80
S00135563,44
S00135564,94
S00135565,56
S00135566,87
S00135567,99
S00135568,135
S00135569,89
S00135570,101
S00135571,91
S00135572,102
S00135573,82
S00135574,69
S00135575,126
S00135576,111
S00135577,105
S00135578,100
S00135579,76
S00135580,121
S00135581,105
S00135582,77
S00135583,106
S00135584,97
S00135585,82
S00135586,99
S00135587,67
S00135588,82
S00135589,78
S00135590,62
S00135591,68
S00135592,78
S00135593,77
S00135594,85
S00135595,119
S00135596,185
S00135597,113
S00135598,76
S00135599,105
S00135600,59
S00135601,98
S00135602,114
S00135603,65
S00135604,81
S00135605,72
S00135606,216
S00135607,1710
S00135608,80
S00135609,91
S00135610,151
S00135611,74
S00135612,121
S00135613,85
S00135614,96
S00135615,135
S00135616,61
S00135617,91
S00135618,65
S00135619,52
S00135620,77
S00135621,112
S00135622,80
S00135623,116
S00135624,70
S00135625,93
S00135626,54
S00135627,98
S00135628,136
S00135629,136
S00135630,93
S00135631,117
S00135632,134
S00135633,57
S00135634,74
S00135635,98
S00135636,89
S00135637,98
S00135638,74
S00135639,59
S00135640,114
S00135641,66
S00135642,129
S00135643,74
S00135644,70
S00135645,73
S00135646,67
S00135647,128
S00135648,86
S00135649,63
S00135650,93
S00135651,103
S00135652,81
S00135653,58
S00135654,58
S00135655,91
S00135656,81
S00135657,93
S00135658,72
S00135659,106
S00135660,91
S00135661,54
S00135662,100
S00135663,90
S00135664,135
S00135665,100
S00135666,68
S00135667,123
S00135668,107
S00135669,113
S00135670,127
S00135671,74
S00135672,94
S00135673,68
S00135674,83
S00135675,109
S00135676,71
S00135677,58
S00135678,88
S00135679,72
S00135680,88
S00135681,98
S00135682,73
S00135683,83
S00135684,70
S00135685,112
S00135686,103
S00135687,101
S00135688,106
S00135689,74
S00135690,109
S00135691,101
S00135692,64
S00135693,83
S00135694,76
S00135695,73
S00135696,54
S00135697,101
S00135698,118
S00135699,124
S00135700,49
S00135701,80
S00135702,99
S00135703,59
S00135704,62
S00135705,75
S00135706,92
S00135707,53
S00135708,97
S00135709,79
S00135710,52
S00135711,75
S00135712,108
S00135713,66
S00135714,107
S00135715,92
S00135716,107
S00135717,95
S00135718,60
S00135719,121
S00135720,170
S00135721,130
S00135722,56
S00135723,61
S00135724,67
S00135725,88
S00135726,114
S00135727,99
S00135728,91
S00135729,96
S00135730,86
S00135731,69
S00135732,88
S00135733,68
S00135734,180
S00135735,84
S00135736,78
S00135737,68
S00135738,132
S00135739,79
S00135740,77
S00135741,54
S00135742,81
S00135743,66
S00135744,74
S00135745,98
S00135746,51
S00135747,75
S00135748,101
S00135749,62
S00135750,89
S00135751,106
S00135752,65
S00135753,89
S00135754,80
S00135755,112
S00135756,80
S00135757,93
S00135758,97
S00135759,47
S00135760,55
S00135761,74
S00135762,96
S00135763,75
S00135764,77
S00135765,119
S00135766,91
S00135767,98
S00135768,140
S00135769,101
S00135770,89
S00135771,100
S00135772,154
S00135773,118
S00135774,61
S00135775,129
S00135776,85
S00135777,136
S00135778,60
S00135779,102
S00135780,76
S00135781,98
S00135782,87
S00135783,135
S00135784,64
S00135785,59
S00135786,115
S00135787,51
S00135788,93
S00135789,80
S00135790,91
S00135791,143
S00135792,70
S00135793,76
S00135794,121
S00135795,78
S00135796,88
S00135797,193
S00135798,72
S00135799,144
S00135800,90
S00135801,64
S00135802,67
S00135803,84
S00135804,92
S00135805,71
S00135806,90
S00135807,89
S00135808,99
S00135809,81
S00135810,90
S00135811,125
S00135812,95
S00135813,89
S00135814,57
S00135815,66
S00135816,91
S00135817,94
S00135818,91
S00135819,89
S00135820,126
S00135821,65
S00135822,92
