X,Y,OBJECTID,ALCOHOL_SALES,LICENCE_NO,PREMISES_REF,LICENCE_HOLDER,PREMISES_MANAGER,GRANTDATE,CHILDREN,COREDAYS,COREACTIVE,CAPACITY_ON,CAPACITY_OFF,MAP_EAST,MAP_NORTH,UPRN,DISTANCE,ADDRESS,LOG_STATUS,AREANAME,AREACODE,WARDNO,WARDNAME,INTERZONE
252268,662483,1,Off,GC0001,52 Beltrees Road Glasgow G53 5TF   ,Afaq Ahmed,Afaq Ahmed,2008/06/02 00:00:00+00,,Monday to,Premises ,,13.32,252268,662483,906700245055,,52 Beltrees Road Glasgow G53 5TF ,,Pollok,44,03,Greater Pollok,S02001849
254262.84,665031.08,2,On,GC0007,Drumoyne Bowling Club 9 Drumoyne Square Glasgow G51 4BG  ,Drumoyne Bowling Club,,2008/06/02 00:00:00+00,,Monday to,Premises ,75,,254262.84,665031.08,906700155961,,9 Drumoyne Square Glasgow G51 4BG ,,Greater Govan,1,05,Govan,S02001855
259384,665144,3,On & Off,GC0008,Poko Loko 69 Hutcheson Street Glasgow G1 1SH  ,Manorview Partnerships Limited,Stuart Douglas Kay,2008/06/02 00:00:00+00,,On Sales ,Premises ,75,5.3,259384,665144,906700056361,,69 Hutcheson Street Glasgow G1 1SH ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001932
257355,669457,4,Off,GC0010,Panesar Convenience Store 84 Cadder Road Glasgow G20 0SA  ,Manjit Singh Panesar,Manjit Singh Panesar,2008/06/02 00:00:00+00,,Monday to,Premises ,,11.61,257355,669457,906700020771,,84 Cadder Road Glasgow G20 0SA ,,North Maryhill / Summerston,36,15,Maryhill,S02001947
258390,665898,5,On & Off,GC0014,303 Sauchiehall Street Glasgow G2 3HQ   ,Chinatown Investments (303) Limited,Quinnan Desmond Lee,2008/06/02 00:00:00+00,,On Sales ,Premises ,88,0,258390,665898,906700095710,,299 Sauchiehall Street Glasgow G2 3HQ ,,City Centre / Merchant City,29,10,Anderston/City/Yorkhill,S02001933
263090,665128,6,Off,GC0017,Saleem Licensed Grocer 548 Carntyne Road Glasgow G32 6EU  ,Saleem Ahmed,Adeel Ahmed Khan,2008/06/02 00:00:00+00,,Monday to,Premises ,,26.8,263090,665128,906700138977,,552 Carntyne Road Glasgow G32 6EU ,,Haghill / Carntyne,13,18,East Centre,S02001929
259615,664098,7,Off,GC0018,Waddell Court Licensed Grocers 31-37 Waddell Court Gorbals Glasgow G5 0PW ,Waddell Court Limited,Aroon Kyani Adris,2008/06/02 00:00:00+00,,Monday to,Premises ,,20,259615,664098,906700308250,,31 Waddell Court Glasgow G5 0PW ,,Greater Gorbals,3,08,Southside Central,S02001889
258298,662564,8,On & Off,GC0021,The Bell Jar 21 Dixon Avenue Glasgow G42 8EB  ,Barlington House Limited,Sophie Diviney,2008/06/02 00:00:00+00,,On Sales ,Premises ,166,12.75,258298,662564,906700253223,,21 Dixon Avenue Glasgow G42 8EB ,,Govanhill,4,08,Southside Central,S02001868
257955,662741,9,On & Off,GC0024,Heraghty's Bar 708 Pollokshaws Road Glasgow G41 2AD  ,The Firm of Heraghty's Bar,Laurence Welch,2008/06/02 00:00:00+00,,On Sales ,Premises ,60,6.6,257955,662741,906700301403,,708 Pollokshaws Road Glasgow G41 2AD ,,Shawlands / Strathbungo,6,06,Pollokshields,S02001868
263505,665379,10,Off,GC0025,Caledonia Store 133 Abbeyhill Street Glasgow G32 6HR  ,Nadeem Afzal,Nadeem Afzal,2008/06/02 00:00:00+00,,Monday to,Premises ,,12.8,263505,665379,906700000315,,133 Abbeyhill Street Glasgow G32 6HR ,,Haghill / Carntyne,13,18,East Centre,S02001913
